Clip,VP02,VP03,VP05,VP06,VP08,VP09,VP11,VP12,VP14,VP15,VP17,VP18,VP20,VP23,VP24,VP26,VP27,VP29,VP30,VP32,VP33,VP35,VP36,VP38,VP39,VP41,VP42,VP44,VP45,VP47,VP48,VP50,VP51,VP53,VP54,VP56,VP57,VP59,VP61,VP62,VP63,VP64,VP65,VP66,VP68,VP69,VP71,VP72,VP73,VP74,VP75,VP76,VP77,VP78,VP79,VP80
CLIP-1,94.053501,74.201305,79.402782,65.139949,91.780131,92.951992,70.163371,77.656676,83.46056,79.958995,72.972973,75.742068,104.745763,107.378018,92.991914,88.579671,81.799591,96.988259,103.413315,87.695445,88.639837,68.659266,107.015458,101.902174,77.643453,81.598388,87.457627,73.397657,82.624957,100.272851,92.841354,70.987654,83.965604,67.198371,86.705202,76.38771,83.276913,113.302984,78.598163,79.822616,84.748613,115.79482,68.823832,111.864407,77.722857,81.911263,82.135524,76.053443,74.303406,94.133697,93.989443,75.806727,74.731275,86.46999,73.745306,88.160784
CLIP-2,88.474576,71.355759,81.011793,70.684651,93.989443,90.172239,72.189756,76.46559,82.414787,78.691875,76.42663,79.973005,104.44482,122.241087,90.370621,75.215992,79.663866,95.755518,105.352018,86.98584,90.401219,70.169492,108.42763,105.066304,80.407125,83.403967,91.587517,75.152336,76.052053,100.01701,91.204099,68.600683,82.709326,66.439523,89.994887,75.266994,83.810165,107.19755,79.809004,81.452571,79.326923,110.756838,70.505288,109.830508,76.258261,73.846154,79.416257,75.910412,70.648464,91.950152,96.251266,74.591281,78.68191,86.094978,70.732957,87.073912
CLIP-3,87.368778,73.257589,77.988712,72.166695,90.14854,87.103309,68.170256,79.919069,80.66712,82.751575,75.664622,76.142132,102.162438,83.305113,86.23605,74.884596,81.88711,94.769022,103.360055,86.23605,87.620988,68.530515,110.791123,95.399188,77.432501,85.90421,92.136348,74.634392,77.445652,98.677518,87.790111,66.609735,79.362388,69.707842,87.045571,74.565884,87.546658,86.897945,77.948372,79.741012,77.55102,115.873285,69.211196,106.329114,76.439613,74.287653,80.205656,76.001369,73.972603,89.762985,96.709201,73.481885,76.090632,86.23605,72.227874,85.844134
CLIP-4,84.249704,70.718976,79.096045,67.773404,91.774303,94.113679,68.767908,73.022312,76.29705,69.187723,75.872534,77.34057,99.341105,79.686702,88.911599,83.23343,80.543755,95.560827,98.878695,83.673469,88.325916,71.21058,109.90502,101.402738,79.456706,82.358922,89.56743,74.897401,77.55102,101.175268,83.47472,68.297655,79.068971,64.582266,83.959044,76.129251,86.499322,88.579671,85.467187,80.794479,81.956155,114.091681,71.47651,105.494505,79.422383,74.224708,80.094627,77.564212,75.638842,95.498888,93.622795,75.871497,75.988362,85.351397,73.357106,87.784961
CLIP-5,90.862685,76.142132,77.458808,72.832963,93.180284,86.705202,65.798492,73.170732,79.241449,74.718526,77.656676,73.707558,98.327074,74.680307,90.800884,71.721311,79.429735,90.754589,95.140665,82.779765,88.933805,68.98884,104.603927,94.416244,76.013514,81.012658,89.537053,71.777591,77.686228,97.21519,78.827691,70.600273,80.095841,63.362289,83.47472,69.636457,81.535587,87.9046,75.152336,79.362388,78.920396,111.411209,71.158474,101.129277,77.935223,72.659048,82.358922,77.537834,72.485962,88.190053,91.141833,72.708653,76.713263,83.758938,73.959938,85.092014
CLIP-6,91.888253,70.600101,79.204526,73.544433,97.782258,89.989889,65.978684,62.944162,80,72.178922,75.458872,73.909324,100.033681,91.216216,90.340044,73.071719,73.009971,89.4612,98.495212,86.513995,91.308759,71.234735,104.462475,94.560244,77.196546,80.753701,89.219331,70.695169,80.121704,98.794772,90.554519,70.660522,79.214624,63.633254,86.323629,73.456895,83.630801,87.938005,73.307314,74.705782,81.983806,110.279101,72.758326,101.78117,74.795082,80.384748,82.709326,77.027027,72.69056,92.120803,92.558061,73.949012,73.15834,84.059457,74.099137,86.294416
CLIP-7,90.847227,71.162318,80.420767,72.350543,97.979798,87.982471,69.346214,77.253219,81.674324,80.832196,77.196546,77.948718,99.21582,93.180284,89.657488,77.895802,76.50459,93.117409,108.445946,85.787234,89.853609,67.951318,104.215852,97.149604,77.725437,83.816014,86.046904,71.186441,82.428765,96.822995,93.734252,74.667576,81.757793,67.46167,85.525199,70.975484,88.295688,101.540024,72.708653,79.214624,88.05668,112.008073,72.47363,102.642276,77.079108,71.765499,83.375699,76.728925,71.843996,90.662139,97.103918,75,74.237288,86.134099,78.974013,85.026464
CLIP-8,84.62192,69.839096,75.859744,70.745044,92.213115,86.764206,67.15279,72.075209,79.741012,78.45135,80.205656,70.417673,99.627245,89.689146,90.248437,75.012671,78.598163,91.649695,96.724928,85.597826,88.354773,72.424345,108.190091,96.137629,76.739427,83.066014,90.225564,69.317023,85.135135,96.495683,83.923155,71.917808,78.544713,66.270178,87.368778,73.096447,83.17836,95.902057,75.215992,77.948372,82.624957,113.917613,70.420139,103.238866,76.452599,71.753411,80.97166,79.028395,71.186441,93.007582,90.539166,72.960649,75.177785,85.916442,70.3125,82.610913
CLIP-9,87.294874,69.672131,74.846206,68.274457,105.209914,87.583893,68.405597,76.793533,81.38352,75,76.936055,68.847405,98.092643,76.452599,87.967644,65.596174,81.27572,88.220382,94.544222,82.431736,85.75804,67.221185,102.434077,91.687657,74.325471,81.841432,85.831063,66.450843,82.039163,94.865692,82.009226,70.829769,76.608784,62.393454,81.897287,78.438031,79.174421,87.235841,73.808303,75.369207,75.783092,106.942794,74.413863,96.675712,73.921971,85.787234,81.273281,75.528701,70.372259,86.221471,83.333333,75.510204,75.936378,84.819926,74.237288,83.930399
CLIP-10,84.720121,73.700151,76.988879,72.770755,97.90923,82.695253,67.551672,73.034658,79.187817,72.350543,78.879973,70.360299,96.016343,75.177785,88.784261,65.546218,80.625957,87.516961,97.2316,84.780388,87.191619,68.181818,104.763519,94.464195,73.469388,82.275267,87.829787,70.193286,83.901774,98.092643,81.438751,73.63218,75.484529,64.19837,81.845739,76.206605,77.314344,83.616587,72.004115,75.446049,76.883649,109.016811,75.266994,99.357891,72.982697,72.845417,79.931682,80.027013,70.672584,86.528673,90.05059,75.949367,76.988879,84.235453,76.50459,86.60214
CLIP-11,87.650756,70.659489,70.745044,69.470458,104.409529,86.050879,66.101695,70.018878,80.150711,75.642965,75.407609,75.834176,95.075822,79.295154,84.188912,67.381317,74.962012,87.516961,97.248016,82.981953,88.369731,70.240923,101.089176,90.217942,75.754991,79.483696,86.352861,69.364162,84.178499,94.946401,90.754589,69.399558,81.135903,62.944162,83.206494,75.433231,77.4983,90.739167,69.732188,75.343628,75.561607,105.227311,70.528109,95.238095,75.064267,72.21563,82.512733,77.458808,71.331522,85.844134,91.308759,75.292522,77.749361,84.948593,75.343628,84.263959
CLIP-12,88.190573,70.276693,74.64694,69.614932,97.067745,89.765386,68.46049,72.191154,81.218274,77.922078,77.366814,72.093417,96.544715,78.678474,82.751575,67.519182,77.105174,86.109687,92.668024,82.331018,85.829687,69.544767,101.917255,90.324763,73.257589,80.591001,83.602379,67.710965,82.317073,92.276491,82.758621,71.06599,78.812692,63.52459,84.919966,72.412035,78.398099,82.372881,70.850202,82.530949,81.549439,105.708962,71.971617,97.182386,77.590607,75.088787,81.855389,76.193701,70.229008,87.149692,88.05668,71.971617,73.544433,82.977634,73.394495,82.568807
CLIP-13,82.953971,73.820916,74.111675,70.660522,95.927297,89.083854,67.381317,73.787062,80.571137,70.086338,81.232019,74.01149,96.229312,84.363883,85.74345,67.473164,78.185818,89.430894,94.736842,82.512733,83.009954,68.413887,102.781547,91.231627,72.226999,79.281721,86.080273,67.18697,84.102564,92.872938,89.204257,68.617558,73.294876,64.726027,82.290417,76.883649,77.432501,85.930918,72.795625,80.763333,75.767918,104.427171,71.635681,101.317123,78.318359,70.420139,76.883649,79.362388,70.817653,84.564442,88.639837,72.745902,76.092545,82.633524,70.957932,83.262819
CLIP-14,85.831063,68.112504,78.75895,74.546676,100.942127,88.71516,69.673511,75.128645,79.890748,87.591241,77.935223,71.162318,95.25418,80.379854,90.172239,68.346565,77.393075,86.852861,100.712106,82.870136,83.403967,70.480082,103.728814,96.463023,73.406967,79.623719,85.583291,68.251273,81.660429,96.170069,89.174126,71.428571,71.819425,62.901589,84.045097,NaN,76.103501,91.930541,74.782312,79.348932,78.531362,104.028557,73.082862,98.111935,74.328975,71.268721,79.537729,78.960688,71.06599,85.539715,89.415749,74.401223,74.734893,82.610913,81.995217,83.51723
CLIP-15,85.070038,72.911392,77.777778,69.874979,97.709924,89.234409,67.141404,69.79131,77.855557,69.707842,77.775883,72.621889,94.384303,72.972973,83.347625,64.231096,79.470199,85.29362,89.582626,83.1643,84.349593,70.003382,100.959112,90.569878,72.044647,80.095841,82.303133,65.540195,80.081095,93.432634,74.871795,68.344101,71.635681,62.170885,84.40678,73.858779,78.040541,77.842267,70.707071,78.734859,74.659492,102.770781,68.309261,99.274017,75.330845,NaN,77.828981,74.074074,67.278287,83.206494,90.217942,74.629409,75.949367,80.516392,78.159364,84.045097
CLIP-16,87.221095,70.910012,72.683842,73.732719,99.915038,92.93617,66.700872,73.556956,81.466395,75.126904,80,72.715031,94.48019,NaN,86.749447,67.10727,77.35369,86.675731,93.734252,81.618772,88.462198,72.21563,107.10677,102.764117,74.086604,80.557444,82.807974,65.228645,84.421088,96.397768,78.880836,73.121192,73.469388,62.139219,83.333333,77.301237,75.78085,NaN,72.252374,76.595745,77.235772,108.200068,68.05293,99.627245,78.119716,72.960649,81.674324,78.629032,69.446809,85.933504,85.527419,77.78915,76.844262,82.554782,72.21563,82.639007
mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip,VP02,VP03,VP05,VP06,VP08,VP09,VP11,VP12,VP14,VP15,VP17,VP18,VP20,VP23,VP24,VP26,VP27,VP29,VP30,VP32,VP33,VP35,VP36,VP38,VP39,VP41,VP42,VP44,VP45,VP47,VP48,VP50,VP51,VP53,VP54,VP56,VP57,VP59,VP61,VP62,VP63,VP64,VP65,VP66,VP68,VP69,VP71,VP72,VP73,VP74,VP75,VP76,VP77,VP78,VP79,VP80
CLIP-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIP-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
