UNNAMED,Clip,Mean_HR,labal,Stress_rank
0,CLIP-1,3.215054199,2,High
1,CLIP-2,2.80710736,2,High
2,CLIP-7,1.808245592,2,High
3,CLIP-3,1.008467574,,
4,CLIP-4,0.972484217,,
5,CLIP-8,0.197834252,,
6,CLIP-6,0.077066877,1,Medium
7,CLIP-5,-0.737835069,1,Medium
8,CLIP-14,-0.862227185,1,Medium
9,CLIP-16,-1.234454802,,
10,CLIP-10,-1.294696623,,
11,CLIP-9,-1.499844873,,
12,CLIP-11,-1.551069533,,
13,CLIP-13,-1.865150944,,
14,CLIP-12,-1.94916564,,
15,CLIP-15,-3.315455409,,
16,BIOFEEDBACK-REST,4.10495086,0,Low
