Clip,VP02,VP03,VP05,VP06,VP08,VP09,VP11,VP12,VP14,VP15,VP17,VP18,VP20,VP23,VP24,VP26,VP27,VP29,VP30,VP32,VP33,VP35,VP36,VP38,VP39,VP41,VP42,VP44,VP45,VP47,VP48,VP50,VP51,VP53,VP54,VP56,VP57,VP59,VP61,VP62,VP63,VP64,VP65,VP66,VP68,VP69,VP71,VP72,VP73,VP74,VP75,VP76,VP77,VP78,VP79,VP80
CLIP-1,High,High,High,Medium,Medium,High,High,High,High,High,Medium,High,High,High,High,High,High,High,High,High,High,Medium,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Medium,High,High,High,High,Medium,High,High,High,High,Medium,High,Medium,High
CLIP-2,High,High,High,Medium,Medium,High,High,High,High,High,Medium,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Medium,High,High,Medium,High,High,High,Medium,High,High,High,High,High,High,Medium,High,Medium,High,Medium,Medium,Medium,High,High,Medium,High,High,Medium,High
CLIP-3,High,High,High,High,Medium,Medium,High,High,High,High,Medium,High,High,High,Medium,High,High,High,High,High,Medium,Medium,High,High,High,High,High,High,Medium,High,High,Medium,High,High,High,Medium,High,Medium,High,High,Medium,High,Medium,High,Medium,High,Medium,Medium,High,High,High,Medium,High,High,Medium,High
CLIP-4,Medium,Medium,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High,High,Medium,High,High,High,High,High,High,Medium,High,High,High,High,High,High,High,Medium,High,Medium,Medium,High,High,Medium,High,High,High,High,High,High,High,High,High,High,High,Medium,High,High,High,High,High,High,High,Medium,High
CLIP-5,High,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,High,High,High,Medium,Medium,High,Medium,High,Medium,High,Medium,High,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,High,High,High,High,Medium,Medium,High,Medium,High,High,High,High,High,Medium,High,Medium,High,High
CLIP-6,High,Medium,High,High,High,High,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,Medium,High,High,High,High,High,Medium,Medium,High,Medium,High,High,Medium,High,High,Medium,High,Medium,High,Medium,High,Medium,Medium,Medium,High,High,High,High,Medium,High,High,Medium,High,High,High,Medium,Medium,Medium,High,High
CLIP-7,High,High,High,High,High,Medium,High,High,High,High,Medium,High,High,High,High,High,Medium,High,High,High,High,Medium,Medium,High,High,High,Medium,High,High,High,High,High,High,High,High,Medium,High,High,Medium,Medium,High,High,High,High,High,Medium,High,Medium,High,High,High,High,Medium,High,High,High
CLIP-8,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,High,Medium,High,High,High,High,Medium,High,Medium,High,High,High,High,High,High,High,High,Medium,High,Medium,Medium,High,Medium,High,High,Medium,High,High,High,Medium,High,High,Medium,High,High,Medium,Medium,High,High,High,Medium,Medium,Medium,High,Medium,Medium
CLIP-9,Medium,Medium,Medium,Medium,High,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium
CLIP-10,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High,High,High,High,High,Medium,High,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,High,Medium,High,High
CLIP-11,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,High,High,High,High,High,Medium
CLIP-12,High,Medium,Medium,Medium,Medium,High,High,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
CLIP-13,Medium,High,Medium,Medium,Medium,High,Medium,High,High,Medium,High,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium
CLIP-14,Medium,Medium,High,High,High,Medium,High,High,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium
CLIP-15,Medium,High,High,Medium,High,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium
CLIP-16,Medium,Medium,Medium,High,High,High,Medium,High,High,Medium,High,Medium,Medium,,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Medium,High,High,Medium,Medium,Medium
BIOFEEDBACK-REST,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
